experiment,policy,ratio,run_id,evidence_class,callback_count,decision_count,matched_call_ids,callback_without_decision,decision_without_callback,default_count,bypass_count,enter_loop_count,unknown_action_count,policy_final_equal_count,candidate_final_equal_count,final_pages_mean,final_pages_median,final_pages_p95,final_pages_min,final_pages_max,candidate_pages_mean,policy_pages_mean
array_migration,custom_no_policy,na,20260812T211310Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,9968,9968,9968,0,0,9968,0,0,0,0,512,153.62600321027287,128.0,512.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211318Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,9082,9082,9082,0,0,9082,0,0,0,0,512,149.94054173089629,128.0,512.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211322Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,10007,10007,10007,0,0,10007,0,0,0,0,512,154.0121914659738,128.0,512.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211330Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,9233,9233,9233,0,0,9233,0,0,0,0,512,149.25419690241526,128.0,512.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211335Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,10012,10012,10012,0,0,10012,0,0,0,0,512,146.7183379944067,128.0,512.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211342Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,9391,9391,9391,0,0,9391,0,0,0,0,512,141.47843680119263,128.0,512.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211347Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,18764,18764,18764,0,0,18764,0,0,0,0,768,137.96205499893412,128.0,256.0,16,512,512.0,0.0
array_migration,custom_no_policy,na,20260812T211355Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,17578,17578,17578,0,0,17578,0,0,0,0,768,134.59733758106725,64.0,256.0,16,512,512.0,0.0
array_migration,prefetch_adaptive_sequential,na,20260812T211705Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,6792,6792,6792,0,0,0,6792,0,0,6792,0,146.05241460541814,153.0,153.0,0,153,512.0,146.05241460541814
array_migration,prefetch_adaptive_sequential,na,20260812T211714Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,5674,5674,5674,0,0,0,5674,0,0,5674,0,160.67941487486783,153.0,220.0,0,220,512.0,160.67941487486783
array_migration,prefetch_adaptive_sequential,na,20260812T211719Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,6618,6618,6618,0,0,0,6618,0,0,6618,0,146.16757328498036,153.0,153.0,0,153,512.0,146.16757328498036
array_migration,prefetch_adaptive_sequential,na,20260812T211728Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,5390,5390,5390,0,0,0,5390,0,0,5390,0,162.92801484230057,153.0,220.0,0,220,512.0,162.92801484230057
array_migration,prefetch_adaptive_sequential,na,20260812T211733Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,6763,6763,6763,0,0,0,6763,0,0,6763,0,146.31908916161467,153.0,153.0,0,153,512.0,146.31908916161467
array_migration,prefetch_adaptive_sequential,na,20260812T211742Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,6818,6818,6818,0,0,0,6818,0,0,6818,0,146.60457612202993,153.0,153.0,0,230,512.0,146.60457612202993
array_migration,prefetch_adaptive_sequential,na,20260812T211747Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,15150,15150,15150,0,0,0,15150,0,0,15150,0,148.90745874587458,153.0,153.0,0,153,512.0,148.90745874587458
array_migration,prefetch_adaptive_sequential,na,20260812T211756Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,11112,11112,11112,0,0,0,11112,0,0,11112,0,194.88975881929446,230.0,230.0,0,230,512.0,194.88975881929446
array_migration,prefetch_always_max,na,20260812T211609Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,512,512,512,0,0,0,512,0,0,512,512,512.0,512.0,512.0,512,512,512.0,512.0
array_migration,prefetch_always_max,na,20260812T211618Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,512,512,512,0,0,0,512,0,0,512,512,512.0,512.0,512.0,512,512,512.0,512.0
array_migration,prefetch_always_max,na,20260812T211623Z_nsys_r1,GPU_EXT_PREFETCH_DECISION_TRACE,512,512,512,0,0,0,512,0,0,512,512,512.0,512.0,512.0,512,512,512.0,512.0
array_migration,prefetch_always_max,na,20260812T211632Z_trace_r1,GPU_EXT_PREFETCH_DECISION_TRACE,512,512,512,0,0,0,512,0,0,512,512,512.0,512.0,512.0,512,512,512.0,512.0
