action_bypass_count,action_default_count,action_enter_loop_count,actual_working_set_ratio_max,actual_working_set_ratio_mean,actual_working_set_ratio_min,all_detached,capacity_model,capacity_target_relative_error_max,capacity_target_relative_error_mean,capacity_target_relative_error_min,correctness_pass_rate,effective_capacity_bytes_max,effective_capacity_bytes_mean,effective_capacity_bytes_min,eviction_to_refault_us_mean,evidence_class,experiment,final_pages_mean,final_pages_median,final_pages_p95,gpu_free_after_cleanup_mean,gpu_free_after_cpu_first_touch_mean,gpu_free_after_guard_max,gpu_free_after_guard_mean,gpu_free_after_guard_min,gpu_free_after_main_reserve_max,gpu_free_after_main_reserve_mean,gpu_free_after_main_reserve_min,gpu_free_after_managed_allocation_mean,gpu_free_after_phase_A_first_mean,gpu_free_after_phase_A_reuse_mean,gpu_free_after_phase_B_first_mean,gpu_free_after_phase_B_reuse_mean,gpu_free_before_cleanup_mean,gpu_free_initial_max,gpu_free_initial_mean,gpu_free_initial_min,guard_allocated_bytes_max,guard_allocated_bytes_mean,guard_allocated_bytes_min,main_reserve_allocated_bytes_max,main_reserve_allocated_bytes_mean,main_reserve_allocated_bytes_min,managed_working_set_bytes_max,managed_working_set_bytes_mean,managed_working_set_bytes_min,phase_A_first_ci95_high,phase_A_first_ci95_low,phase_A_first_count,phase_A_first_max,phase_A_first_mean,phase_A_first_median,phase_A_first_min,phase_A_first_p95,phase_A_first_stdev,phase_A_reuse_ci95_high,phase_A_reuse_ci95_low,phase_A_reuse_count,phase_A_reuse_max,phase_A_reuse_mean,phase_A_reuse_median,phase_A_reuse_min,phase_A_reuse_p95,phase_A_reuse_stdev,phase_B_first_ci95_high,phase_B_first_ci95_low,phase_B_first_count,phase_B_first_max,phase_B_first_mean,phase_B_first_median,phase_B_first_min,phase_B_first_p95,phase_B_first_stdev,phase_B_reuse_ci95_high,phase_B_reuse_ci95_low,phase_B_reuse_count,phase_B_reuse_max,phase_B_reuse_mean,phase_B_reuse_median,phase_B_reuse_min,phase_B_reuse_p95,phase_B_reuse_stdev,policy,ratio,refaulted_bytes,region_a_bytes_max,region_a_bytes_mean,region_a_bytes_min,region_b_bytes_max,region_b_bytes_mean,region_b_bytes_min,run_kind,runs,same_block_refault_count,selected_eviction_count,working_set_ratio_error_max,working_set_ratio_error_mean,working_set_ratio_error_min,xid_delta
0,0,0,0.95,0.9499999999999998,0.95,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,,,,25066668032.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4428595200.0,402063360.0,402063360.0,402063360.0,402063360.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,8159875072.0,8159875072.0,8159875072.0,1337.4695629417088,1334.1033537249577,3,1337.19751,1335.7864583333333,1335.928833,1334.233032,1337.0706423,1.4873585184487736,11.77186304,11.767848959999998,3,11.77088,11.769855999999999,11.77088,11.767808,11.77088,0.001773620026950253,1336.6877418427912,1329.1174341572087,3,1335.986206,1332.902588,1333.375,1329.346558,1335.7250854,3.344938148050613,11.78664429525282,11.779691704747176,3,11.78624,11.783167999999998,11.783168,11.780096,11.7859328,0.0030719999999995196,custom_no_policy,0.95,UNAVAILABLE,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,timing,3,UNAVAILABLE,0,2.86122e-07,2.86122e-07,2.86122e-07,0
0,188577,0,0.95,0.95,0.95,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,65.24255343970898,8.0,256.0,25066668032.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4428595200.0,402063360.0,402063360.0,402063360.0,402063360.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,8159875072.0,8159875072.0,8159875072.0,1584.730103,1584.730103,1,1584.730103,1584.730103,1584.730103,1584.730103,1584.730103,0.0,11.76576,11.76576,1,11.76576,11.76576,11.76576,11.76576,11.76576,0.0,1574.827026,1574.827026,1,1574.827026,1574.827026,1574.827026,1574.827026,1574.827026,0.0,11.780096,11.780096,1,11.780096,11.780096,11.780096,11.780096,11.780096,0.0,custom_no_policy,0.95,UNAVAILABLE,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,trace,1,UNAVAILABLE,0,2.86122e-07,2.86122e-07,2.86122e-07,0
0,0,0,1.05,1.05,1.05,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,,,,25093931008.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4025942016.0,1507328.0,1507328.0,1507328.0,1507328.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,9018810368.0,9018810368.0,9018810368.0,1491.7627951970092,1477.4194148029912,3,1491.642334,1484.5911050000002,1482.76123,1479.369751,1490.7542236,6.337618263960868,1793.1670775607654,1767.908199772568,3,1791.716309,1780.5376386666667,1780.501465,1769.395142,1790.5948246,11.160627467176317,1534.0245385342048,1514.0104547991284,3,1530.003418,1524.0174966666666,1528.188965,1513.860107,1529.8219727,8.843216810227085,1786.560069893418,1780.9910374399153,3,1786.206177,1783.7755536666666,1783.834595,1781.285889,1785.9690188,2.4606752955271043,custom_no_policy,1.05,UNAVAILABLE,4509405184.0,4509405184.0,4509405184.0,4509405184.0,4509405184.0,4509405184.0,timing,3,UNAVAILABLE,0,1.90748e-07,1.90748e-07,1.90748e-07,0
0,472189,0,1.05,1.05,1.05,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,227808.87375728157,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,57.801285078644355,8.0,256.0,25093931008.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4025942016.0,1507328.0,1507328.0,1507328.0,1507328.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,9018810368.0,9018810368.0,9018810368.0,1751.133179,1751.133179,1,1751.133179,1751.133179,1751.133179,1751.133179,1751.133179,0.0,2067.876953,2067.876953,1,2067.876953,2067.876953,2067.876953,2067.876953,2067.876953,0.0,1816.690674,1816.690674,1,1816.690674,1816.690674,1816.690674,1816.690674,1816.690674,0.0,2108.083252,2108.083252,1,2108.083252,2108.083252,2108.083252,2108.083252,2108.083252,0.0,custom_no_policy,1.05,432013312,4509405184.0,4509405184.0,4509405184.0,4509405184.0,4509405184.0,4509405184.0,trace,1,206,4726,1.90748e-07,1.90748e-07,1.90748e-07,0
0,480994,0,1.1,1.1,1.1,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,522338.7476301703,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,54.413431352574044,8.0,256.0,25064570880.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,3757506560.0,1507328.0,1507328.0,1507328.0,1507328.0,25062473728.0,25062473728.0,25062473728.0,1073741824.0,1073741824.0,1073741824.0,15399387136.0,15399387136.0,15399387136.0,9448275968.0,9448275968.0,9448275968.0,2127.351318,2127.351318,1,2127.351318,2127.351318,2127.351318,2127.351318,2127.351318,0.0,2438.683594,2438.683594,1,2438.683594,2438.683594,2438.683594,2438.683594,2438.683594,0.0,2193.406006,2193.406006,1,2193.406006,2193.406006,2193.406006,2193.406006,2193.406006,0.0,2377.135986,2377.135986,1,2377.135986,2377.135986,2377.135986,2377.135986,2377.135986,0.0,custom_no_policy,1.10,861929472,4724137984.0,4724137984.0,4724137984.0,4724137984.0,4724137984.0,4724137984.0,nsys,1,411,5275,3.81496e-07,3.81496e-07,3.81496e-07,0
0,0,0,1.1,1.1,1.1,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,,,,25093931008.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,3757506560.0,1507328.0,1507328.0,1507328.0,1507328.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,9448275968.0,9448275968.0,9448275968.0,1541.362578452629,1538.3180862140375,3,1541.072876,1539.8403323333332,1540.042725,1538.405396,1540.9698609,1.3452079695125654,1856.080555239899,1843.7578234267678,3,1855.469604,1849.9191893333334,1849.701416,1844.586548,1854.8927852,5.444795303160325,1613.170089069337,1602.017980930663,3,1610.897461,1607.594035,1609.954346,1601.930298,1610.8031495,4.92755558869538,1826.2281854939654,1823.6621138393682,3,1826.064331,1824.9451496666668,1824.973877,1823.797241,1825.9552856,1.1338179800062222,custom_no_policy,1.10,UNAVAILABLE,4724137984.0,4724137984.0,4724137984.0,4724137984.0,4724137984.0,4724137984.0,timing,3,UNAVAILABLE,0,3.81496e-07,3.81496e-07,3.81496e-07,0
0,494712,0,1.1,1.1,1.1,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,447358.7147420925,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,58.20795533562962,8.0,256.0,25093931008.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,3757506560.0,1507328.0,1507328.0,1507328.0,1507328.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,9448275968.0,9448275968.0,9448275968.0,1813.168091,1813.168091,1,1813.168091,1813.168091,1813.168091,1813.168091,1813.168091,0.0,2143.303711,2143.303711,1,2143.303711,2143.303711,2143.303711,2143.303711,2143.303711,0.0,1883.041748,1883.041748,1,1883.041748,1883.041748,1883.041748,1883.041748,1883.041748,0.0,2104.395752,2104.395752,1,2104.395752,2104.395752,2104.395752,2104.395752,2104.395752,0.0,custom_no_policy,1.10,861929472,4724137984.0,4724137984.0,4724137984.0,4724137984.0,4724137984.0,4724137984.0,trace,1,411,5283,3.81496e-07,3.81496e-07,3.81496e-07,0
0,0,0,0.95,0.9499999999999998,0.95,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,,,,25066668032.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4420206592.0,385286144.0,385286144.0,385286144.0,385286144.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,8159875072.0,8159875072.0,8159875072.0,897.5821735066377,885.3854371600289,3,897.473511,891.4838053333333,889.950195,887.02771,896.7211794000001,5.389124244604192,11.776973680471938,11.768199652861396,3,11.777024,11.772586666666667,11.77088,11.769856,11.776409600000001,0.0038768014307331887,680.1281293696018,669.8916459637317,3,679.378967,675.0098876666667,675.303406,670.34729,678.9714109,4.5229870790312985,11.793338939901655,11.783237060098344,3,11.793408,11.788288,11.78624,11.785216,11.7926912,0.004463512518185427,prefetch_adaptive_sequential,0.95,UNAVAILABLE,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,timing,3,UNAVAILABLE,0,2.86122e-07,2.86122e-07,2.86122e-07,0
121584,0,0,0.95,0.95,0.95,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,96.894287077247,0.0,235.0,25066668032.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4420206592.0,385286144.0,385286144.0,385286144.0,385286144.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,8159875072.0,8159875072.0,8159875072.0,997.090332,997.090332,1,997.090332,997.090332,997.090332,997.090332,997.090332,0.0,11.769856,11.769856,1,11.769856,11.769856,11.769856,11.769856,11.769856,0.0,848.727051,848.727051,1,848.727051,848.727051,848.727051,848.727051,848.727051,0.0,11.79136,11.79136,1,11.79136,11.79136,11.79136,11.79136,11.79136,0.0,prefetch_adaptive_sequential,0.95,UNAVAILABLE,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,4079937536.0,trace,1,UNAVAILABLE,0,2.86122e-07,2.86122e-07,2.86122e-07,0
0,0,0,1.05,1.05,1.05,True,PHYSICALLY_RESERVED_GUARD_MODEL,6.86646e-05,6.86646e-05,6.86646e-05,1.0,8589344768.0,8589344768.0,8589344768.0,UNAVAILABLE,PROGRAM_TIMING|GPU_EXT_PREFETCH_DECISION_TRACE|GPU_EXT_CHUNK_TRACE,prefetch_matrix_stage4,,,,25093931008.0,8589344768.0,8589344768.0,8589344768.0,8589344768.0,9663086592.0,9663086592.0,9663086592.0,8589344768.0,4017553408.0,1507328.0,1507328.0,1507328.0,1507328.0,25091833856.0,25091833856.0,25091833856.0,1073741824.0,1073741824.0,1073741824.0,15428747264.0,15428747264.0,15428747264.0,9018810368.0,9018810368.0,9018810368.0,917.936713061672,895.9461396049946,3,917.362671,906.9414263333333,905.330688,898.13092,916.1594726999999,9.716528192484832,1021.2155709771936,1008.0179496894731,3,1020.967957,1014.6167603333333,1013.378052,1009.504272,1020.2089665,5.831364951373558,769.7411394342,763.9412338991333,3,769.600525,766.8411866666667,766.387207,764.535828,769.2791931999999,2.5626864963865765,998.1909533180215,978.1010386819787,3,998.146057,988.1459960000001,985.094116,981.197815,996.8408629,8.876722670751944,prefetch_adaptive_sequential,1.05,UNAVAILABLE,4509405184.0,4509405184.0,4509405184.0,4509405184.0,4509405184.0,4509405184.0,timing,3,UNAVAILABLE,0,1.90748e-07,1.90748e-07,1.90748e-07,0
