setting,shape,cta_blocks,work,total_threads,block,order,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,logical_lane_encounters,automatic_admitted,module_loaded,map_key0,source
work-b1-w8,128,1,8,128,1,1,native,91701,0,,0.252063990,8,128,16384,false,false,false,sweep-work-b1-w8-block-01-order-01-native
work-b1-w8,128,1,8,128,1,2,off,91701,0,0,0.340447992,8,128,16384,false,true,true,sweep-work-b1-w8-block-01-order-02-off
work-b1-w8,128,1,8,128,1,3,on,91701,0,0,0.382975996,8,128,16384,true,true,true,sweep-work-b1-w8-block-01-order-03-on
work-b1-w8,128,1,8,128,2,1,off,91702,0,0,0.332800001,8,128,16384,false,true,true,sweep-work-b1-w8-block-02-order-01-off
work-b1-w8,128,1,8,128,2,2,on,91702,0,0,0.388671994,8,128,16384,true,true,true,sweep-work-b1-w8-block-02-order-02-on
work-b1-w8,128,1,8,128,2,3,native,91702,0,,0.246687993,8,128,16384,false,false,false,sweep-work-b1-w8-block-02-order-03-native
work-b1-w8,128,1,8,128,3,1,on,91703,0,0,0.382048011,8,128,16384,true,true,true,sweep-work-b1-w8-block-03-order-01-on
work-b1-w8,128,1,8,128,3,2,native,91703,0,,0.193984002,8,128,16384,false,false,false,sweep-work-b1-w8-block-03-order-02-native
work-b1-w8,128,1,8,128,3,3,off,91703,0,0,0.335296005,8,128,16384,false,true,true,sweep-work-b1-w8-block-03-order-03-off
work-b1-w8,128,1,8,128,4,1,native,91704,0,,0.225920007,8,128,16384,false,false,false,sweep-work-b1-w8-block-04-order-01-native
work-b1-w8,128,1,8,128,4,2,off,91704,0,0,0.339136004,8,128,16384,false,true,true,sweep-work-b1-w8-block-04-order-02-off
work-b1-w8,128,1,8,128,4,3,on,91704,0,0,0.388960004,8,128,16384,true,true,true,sweep-work-b1-w8-block-04-order-03-on
work-b1-w8,128,1,8,128,5,1,off,91705,0,0,0.334784001,8,128,16384,false,true,true,sweep-work-b1-w8-block-05-order-01-off
work-b1-w8,128,1,8,128,5,2,on,91705,0,0,0.387071997,8,128,16384,true,true,true,sweep-work-b1-w8-block-05-order-02-on
work-b1-w8,128,1,8,128,5,3,native,91705,0,,0.198239997,8,128,16384,false,false,false,sweep-work-b1-w8-block-05-order-03-native
work-b1-w8,128,1,8,128,6,1,on,91706,0,0,0.387935996,8,128,16384,true,true,true,sweep-work-b1-w8-block-06-order-01-on
work-b1-w8,128,1,8,128,6,2,native,91706,0,,0.198624000,8,128,16384,false,false,false,sweep-work-b1-w8-block-06-order-02-native
work-b1-w8,128,1,8,128,6,3,off,91706,0,0,0.334208012,8,128,16384,false,true,true,sweep-work-b1-w8-block-06-order-03-off
work-b1-w8,128,1,8,128,7,1,native,91707,0,,0.201279998,8,128,16384,false,false,false,sweep-work-b1-w8-block-07-order-01-native
work-b1-w8,128,1,8,128,7,2,off,91707,0,0,0.335776001,8,128,16384,false,true,true,sweep-work-b1-w8-block-07-order-02-off
work-b1-w8,128,1,8,128,7,3,on,91707,0,0,0.397792011,8,128,16384,true,true,true,sweep-work-b1-w8-block-07-order-03-on
work-b1-w8,128,1,8,128,8,1,off,91708,0,0,0.334719986,8,128,16384,false,true,true,sweep-work-b1-w8-block-08-order-01-off
work-b1-w8,128,1,8,128,8,2,on,91708,0,0,0.385472000,8,128,16384,true,true,true,sweep-work-b1-w8-block-08-order-02-on
work-b1-w8,128,1,8,128,8,3,native,91708,0,,0.196511999,8,128,16384,false,false,false,sweep-work-b1-w8-block-08-order-03-native
work-b1-w8,128,1,8,128,9,1,on,91709,0,0,0.380768001,8,128,16384,true,true,true,sweep-work-b1-w8-block-09-order-01-on
work-b1-w8,128,1,8,128,9,2,native,91709,0,,0.251711994,8,128,16384,false,false,false,sweep-work-b1-w8-block-09-order-02-native
work-b1-w8,128,1,8,128,9,3,off,91709,0,0,0.330527991,8,128,16384,false,true,true,sweep-work-b1-w8-block-09-order-03-off
work-b1-w8,128,1,8,128,10,1,native,91710,0,,0.228000000,8,128,16384,false,false,false,sweep-work-b1-w8-block-10-order-01-native
work-b1-w8,128,1,8,128,10,2,off,91710,0,0,0.334271997,8,128,16384,false,true,true,sweep-work-b1-w8-block-10-order-02-off
work-b1-w8,128,1,8,128,10,3,on,91710,0,0,0.392287999,8,128,16384,true,true,true,sweep-work-b1-w8-block-10-order-03-on
work-b1-w32,128,1,32,128,1,1,native,91801,0,,0.244767994,8,128,16384,false,false,false,sweep-work-b1-w32-block-01-order-01-native
work-b1-w32,128,1,32,128,1,2,off,91801,0,0,0.520896018,8,128,16384,false,true,true,sweep-work-b1-w32-block-01-order-02-off
work-b1-w32,128,1,32,128,1,3,on,91801,0,0,0.524128020,8,128,16384,true,true,true,sweep-work-b1-w32-block-01-order-03-on
work-b1-w32,128,1,32,128,2,1,off,91802,0,0,0.520735979,8,128,16384,false,true,true,sweep-work-b1-w32-block-02-order-01-off
work-b1-w32,128,1,32,128,2,2,on,91802,0,0,0.525727987,8,128,16384,true,true,true,sweep-work-b1-w32-block-02-order-02-on
work-b1-w32,128,1,32,128,2,3,native,91802,0,,0.250528008,8,128,16384,false,false,false,sweep-work-b1-w32-block-02-order-03-native
work-b1-w32,128,1,32,128,3,1,on,91803,0,0,0.525376022,8,128,16384,true,true,true,sweep-work-b1-w32-block-03-order-01-on
work-b1-w32,128,1,32,128,3,2,native,91803,0,,0.238815993,8,128,16384,false,false,false,sweep-work-b1-w32-block-03-order-02-native
work-b1-w32,128,1,32,128,3,3,off,91803,0,0,0.524096012,8,128,16384,false,true,true,sweep-work-b1-w32-block-03-order-03-off
work-b1-w32,128,1,32,128,4,1,native,91804,0,,0.259135991,8,128,16384,false,false,false,sweep-work-b1-w32-block-04-order-01-native
work-b1-w32,128,1,32,128,4,2,off,91804,0,0,0.523904026,8,128,16384,false,true,true,sweep-work-b1-w32-block-04-order-02-off
work-b1-w32,128,1,32,128,4,3,on,91804,0,0,0.518144011,8,128,16384,true,true,true,sweep-work-b1-w32-block-04-order-03-on
work-b1-w32,128,1,32,128,5,1,off,91805,0,0,0.523648024,8,128,16384,false,true,true,sweep-work-b1-w32-block-05-order-01-off
work-b1-w32,128,1,32,128,5,2,on,91805,0,0,0.524287999,8,128,16384,true,true,true,sweep-work-b1-w32-block-05-order-02-on
work-b1-w32,128,1,32,128,5,3,native,91805,0,,0.264191985,8,128,16384,false,false,false,sweep-work-b1-w32-block-05-order-03-native
work-b1-w32,128,1,32,128,6,1,on,91806,0,0,0.525312006,8,128,16384,true,true,true,sweep-work-b1-w32-block-06-order-01-on
work-b1-w32,128,1,32,128,6,2,native,91806,0,,0.252640009,8,128,16384,false,false,false,sweep-work-b1-w32-block-06-order-02-native
work-b1-w32,128,1,32,128,6,3,off,91806,0,0,0.524064004,8,128,16384,false,true,true,sweep-work-b1-w32-block-06-order-03-off
work-b1-w32,128,1,32,128,7,1,native,91807,0,,0.249183998,8,128,16384,false,false,false,sweep-work-b1-w32-block-07-order-01-native
work-b1-w32,128,1,32,128,7,2,off,91807,0,0,0.524864018,8,128,16384,false,true,true,sweep-work-b1-w32-block-07-order-02-off
work-b1-w32,128,1,32,128,7,3,on,91807,0,0,0.523999989,8,128,16384,true,true,true,sweep-work-b1-w32-block-07-order-03-on
work-b1-w32,128,1,32,128,8,1,off,91808,0,0,0.523231983,8,128,16384,false,true,true,sweep-work-b1-w32-block-08-order-01-off
work-b1-w32,128,1,32,128,8,2,on,91808,0,0,0.523487985,8,128,16384,true,true,true,sweep-work-b1-w32-block-08-order-02-on
