setting,shape,cta_blocks,work,total_threads,block,order,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,logical_lane_encounters,automatic_admitted,module_loaded,map_key0,source
blocks-b128-w128,128,128,128,16384,1,1,native,91001,0,,0.524576008,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-01-order-01-native
blocks-b128-w128,128,128,128,16384,1,2,off,91001,0,0,0.535583973,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-01-order-02-off
blocks-b128-w128,128,128,128,16384,2,1,off,91002,0,0,0.545535982,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-02-order-01-off
blocks-b128-w128,128,128,128,16384,2,2,native,91002,0,,0.524416029,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-02-order-02-native
blocks-b128-w128,128,128,128,16384,3,1,native,91003,0,,0.524800003,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-03-order-01-native
blocks-b128-w128,128,128,128,16384,3,2,off,91003,0,0,0.544736028,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-03-order-02-off
blocks-b128-w128,128,128,128,16384,4,1,off,91004,0,0,0.547200024,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-04-order-01-off
blocks-b128-w128,128,128,128,16384,4,2,native,91004,0,,0.524447978,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-04-order-02-native
blocks-b128-w128,128,128,128,16384,5,1,native,91005,0,,0.524511993,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-05-order-01-native
blocks-b128-w128,128,128,128,16384,5,2,off,91005,0,0,0.542912006,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-05-order-02-off
blocks-b128-w128,128,128,128,16384,6,1,off,91006,0,0,0.544960022,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-06-order-01-off
blocks-b128-w128,128,128,128,16384,6,2,native,91006,0,,0.524320006,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-06-order-02-native
blocks-b128-w128,128,128,128,16384,7,1,native,91007,0,,0.523743987,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-07-order-01-native
blocks-b128-w128,128,128,128,16384,7,2,off,91007,0,0,0.545343995,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-07-order-02-off
blocks-b128-w128,128,128,128,16384,8,1,off,91008,0,0,0.545279980,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-08-order-01-off
blocks-b128-w128,128,128,128,16384,8,2,native,91008,0,,0.524447978,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-08-order-02-native
blocks-b128-w128,128,128,128,16384,9,1,native,91009,0,,0.524287999,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-09-order-01-native
blocks-b128-w128,128,128,128,16384,9,2,off,91009,0,0,0.540831983,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-09-order-02-off
blocks-b128-w128,128,128,128,16384,10,1,off,91010,0,0,0.542656004,8,128,2097152,false,true,true,sweep-blocks-b128-w128-block-10-order-01-off
blocks-b128-w128,128,128,128,16384,10,2,native,91010,0,,0.525120020,8,128,2097152,false,false,false,sweep-blocks-b128-w128-block-10-order-02-native
blocks-b512-w128,128,512,128,65536,1,1,native,91101,0,,0.534464002,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-01-order-01-native
blocks-b512-w128,128,512,128,65536,1,2,off,91101,0,0,0.793151975,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-01-order-02-off
blocks-b512-w128,128,512,128,65536,2,1,off,91102,0,0,0.793151975,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-02-order-01-off
blocks-b512-w128,128,512,128,65536,2,2,native,91102,0,,0.534623981,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-02-order-02-native
blocks-b512-w128,128,512,128,65536,3,1,native,91103,0,,0.534143984,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-03-order-01-native
blocks-b512-w128,128,512,128,65536,3,2,off,91103,0,0,0.795615971,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-03-order-02-off
blocks-b512-w128,128,512,128,65536,4,1,off,91104,0,0,0.795231998,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-04-order-01-off
blocks-b512-w128,128,512,128,65536,4,2,native,91104,0,,0.534367979,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-04-order-02-native
blocks-b512-w128,128,512,128,65536,5,1,native,91105,0,,0.534976006,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-05-order-01-native
blocks-b512-w128,128,512,128,65536,5,2,off,91105,0,0,0.791167974,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-05-order-02-off
blocks-b512-w128,128,512,128,65536,6,1,off,91106,0,0,0.787231982,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-06-order-01-off
blocks-b512-w128,128,512,128,65536,6,2,native,91106,0,,0.535935998,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-06-order-02-native
blocks-b512-w128,128,512,128,65536,7,1,native,91107,0,,0.534591973,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-07-order-01-native
blocks-b512-w128,128,512,128,65536,7,2,off,91107,0,0,0.788991988,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-07-order-02-off
blocks-b512-w128,128,512,128,65536,8,1,off,91108,0,0,0.791136026,8,128,8388608,false,true,true,sweep-blocks-b512-w128-block-08-order-01-off
blocks-b512-w128,128,512,128,65536,8,2,native,91108,0,,0.532351971,8,128,8388608,false,false,false,sweep-blocks-b512-w128-block-08-order-02-native
