threads,block,position,arm,run_id,elapsed_ms,app_rc,loader_rc,directory
32,1,0,native,92323,0.197119996,0,,threads-32-block-1-0-native
32,1,1,off,92324,0.334688008,0,0,threads-32-block-1-1-off
32,1,2,on,92325,0.332800001,0,0,threads-32-block-1-2-on
32,2,0,off,92326,0.325919986,0,0,threads-32-block-2-0-off
32,2,1,on,92327,0.329567999,0,0,threads-32-block-2-1-on
32,2,2,native,92328,0.196575999,0,,threads-32-block-2-2-native
32,3,0,on,92329,0.331808001,0,0,threads-32-block-3-0-on
32,3,1,native,92330,0.239552006,0,,threads-32-block-3-1-native
32,3,2,off,92331,0.326687992,0,0,threads-32-block-3-2-off
32,4,0,native,92332,0.233472005,0,,threads-32-block-4-0-native
32,4,1,off,92333,0.330303997,0,0,threads-32-block-4-1-off
32,4,2,on,92334,0.332704008,0,0,threads-32-block-4-2-on
32,5,0,off,92335,0.330464005,0,0,threads-32-block-5-0-off
32,5,1,on,92336,0.329663992,0,0,threads-32-block-5-1-on
32,5,2,native,92337,0.236607999,0,,threads-32-block-5-2-native
1024,1,0,native,102243,0.194784001,0,,threads-1024-block-1-0-native
1024,1,1,off,102244,0.523904026,0,0,threads-1024-block-1-1-off
1024,1,2,on,102245,0.523616016,0,0,threads-1024-block-1-2-on
1024,2,0,off,102246,0.525183976,0,0,threads-1024-block-2-0-off
1024,2,1,on,102247,0.523328006,0,0,threads-1024-block-2-1-on
1024,2,2,native,102248,0.246976003,0,,threads-1024-block-2-2-native
1024,3,0,on,102249,0.523679972,0,0,threads-1024-block-3-0-on
1024,3,1,native,102250,0.262912005,0,,threads-1024-block-3-1-native
1024,3,2,off,102251,0.523711979,0,0,threads-1024-block-3-2-off
1024,4,0,native,102252,0.218879998,0,,threads-1024-block-4-0-native
1024,4,1,off,102253,0.523808002,0,0,threads-1024-block-4-1-off
1024,4,2,on,102254,0.523872018,0,0,threads-1024-block-4-2-on
1024,5,0,off,102255,0.525439978,0,0,threads-1024-block-5-0-off
1024,5,1,on,102256,0.524160028,0,0,threads-1024-block-5-1-on
1024,5,2,native,102257,0.266624004,0,,threads-1024-block-5-2-native
