cell,blocks,threads_per_block,active_warps,arm,pairs,median_delta_ms,median_overhead_pct,bootstrap_median_overhead_low_pct,bootstrap_median_overhead_high_pct
0,128,1024,4096,noop,10,0.0018400009499999967,5.63660684785996,2.756321499815728,7.133421476250568
0,128,1024,4096,counter,10,0.5588159768000001,1713.1007049686575,1693.6936737165279,1727.0217180588613
1,256,512,4096,noop,10,0.0014240015000000009,4.2507148717650045,0.9756057867341239,9.10816241169452
1,256,512,4096,counter,10,0.58211200325,1768.684355980156,1745.425708106316,1791.891899155734
2,1024,128,4096,noop,10,0.0013440009500000002,4.131177700847766,0.9721615427726538,10.287910296117152
2,1024,128,4096,counter,10,0.5764480123,1753.847628479658,1709.227410261774,1773.2652469756686
3,2048,64,4096,noop,10,0.0002719982999999995,0.8087264273888506,-1.5711353248746618,6.0157788702251525
3,2048,64,4096,counter,10,0.5876639968999999,1774.1351126961126,1712.2845114155557,1813.9546151767277
4,4096,32,4096,noop,10,0.0009759981500000008,2.664296871504057,-0.1562512245178338,8.615720028308438
4,4096,32,4096,counter,10,0.5819199758,1594.2955711153106,1537.9020299682088,1648.5148542478012
