cell,blocks,active_warps,arm,pairs,median_delta_ms,median_overhead_pct,bootstrap_median_overhead_low_pct,bootstrap_median_overhead_high_pct
0,256,2048,noop,10,0.0175999985,108.85375180305999,81.73913354914926,136.46463612035149
0,256,2048,counter,10,0.04217600125,262.1699595780118,213.84271674639012,312.49999075753357
1,512,2048,noop,10,0.017712000299999996,115.88745003832001,96.4083117578376,140.37557906761796
1,512,2048,counter,10,0.039535998850000004,267.52029803806795,220.24383791899845,294.3661826770486
2,1024,2048,noop,10,0.01683200155,101.6858280621609,86.32788199174519,124.34731941272459
2,1024,2048,counter,10,0.040624000199999996,241.87233870277188,230.41825167343748,286.7346876692004
3,2048,2048,noop,10,0.01180799955,51.2573162421047,20.752571279086585,81.94753863014051
3,2048,2048,counter,10,0.03012799935,129.10164110766306,91.33409370250311,194.92693630884833
4,4096,2048,noop,10,0.0005280003000000012,1.5329853981640884,-1.0794659245347116,2.989050015723571
4,4096,2048,counter,10,0.020400000699999997,59.973381572330894,54.84764464763929,66.35249530134473
5,4096,4096,noop,10,0.0014239997000000011,4.244946500576918,2.0529395900420577,6.244537757455748
5,4096,4096,counter,10,0.0668000019,196.61955720931934,194.82498580481897,199.8672458438254
6,4096,8192,noop,10,0.0012480020999999994,3.6654231062447806,2.2097742783957597,7.953500788554891
6,4096,8192,counter,10,0.13331200375,393.2067815760722,389.3896988323535,408.04267397290096
7,4096,16384,noop,10,0.0011999998499999977,3.6060941263987845,-0.7366537156518804,6.151185460119024
7,4096,16384,counter,10,0.26499200805,788.5774029361903,777.7465505008953,810.8717197813838
8,4096,32768,noop,10,0.002208000049999999,6.460022521085984,2.4849005888866516,8.905383697521163
8,4096,32768,counter,10,0.541727999,1571.229229589615,1530.5800822214992,1582.2494257709545
