timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 01:34:29.885, 15 MiB, 40, 39.86 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:30.088, 15 MiB, 40, 39.86 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:30.288, 15 MiB, 40, 39.86 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:30.488, 15 MiB, 40, 39.86 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:30.689, 15 MiB, 40, 39.86 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:30.889, 15 MiB, 40, 16.99 W, 44 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:31.089, 15 MiB, 40, 16.99 W, 44 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:31.289, 15 MiB, 40, 16.99 W, 44 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:31.489, 15 MiB, 40, 16.99 W, 44 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:31.690, 15 MiB, 40, 16.99 W, 44 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:31.890, 15 MiB, 39, 12.78 W, 26 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:32.090, 15 MiB, 39, 12.78 W, 26 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:32.290, 15 MiB, 39, 12.78 W, 26 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:32.496, 35 MiB, 39, 12.87 W, 24 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:32.696, 707 MiB, 39, 12.87 W, 24 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:32.896, 707 MiB, 40, 27.99 W, 2437 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:33.097, 707 MiB, 40, 27.99 W, 2437 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:33.297, 707 MiB, 40, 27.99 W, 2437 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:33.497, 707 MiB, 40, 50.06 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:33.697, 707 MiB, 40, 50.06 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:33.897, 707 MiB, 40, 54.83 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:34.098, 707 MiB, 40, 54.83 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:34.298, 707 MiB, 40, 54.83 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:34.498, 707 MiB, 40, 54.75 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:34.699, 707 MiB, 40, 54.75 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:34.899, 707 MiB, 40, 54.65 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:35.099, 707 MiB, 40, 54.65 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:35.299, 707 MiB, 40, 54.65 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:35.499, 707 MiB, 40, 54.60 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:35.700, 707 MiB, 40, 54.60 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:35.900, 707 MiB, 40, 54.50 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:36.100, 707 MiB, 40, 54.50 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:36.300, 707 MiB, 40, 54.50 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:36.500, 707 MiB, 40, 54.44 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:34:36.701, 707 MiB, 40, 54.44 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
