timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 01:45:53.331, 15 MiB, 40, 46.15 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:53.533, 15 MiB, 39, 44.88 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:53.733, 15 MiB, 39, 44.88 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:53.933, 15 MiB, 39, 44.88 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:54.133, 15 MiB, 39, 24.43 W, 60 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:54.333, 15 MiB, 39, 24.43 W, 60 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:54.534, 15 MiB, 39, 23.44 W, 427 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:54.734, 15 MiB, 39, 23.44 W, 427 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:54.934, 15 MiB, 39, 23.44 W, 427 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:55.134, 15 MiB, 39, 23.44 W, 53 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:55.335, 15 MiB, 39, 23.44 W, 53 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:55.535, 15 MiB, 39, 13.88 W, 30 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:55.735, 15 MiB, 39, 13.88 W, 30 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:55.943, 35 MiB, 39, 13.88 W, 30 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:56.143, 707 MiB, 39, 15.28 W, 180 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:56.343, 707 MiB, 39, 15.28 W, 180 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:56.544, 707 MiB, 39, 30.88 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:56.744, 707 MiB, 39, 30.88 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:56.944, 707 MiB, 39, 30.88 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:57.144, 707 MiB, 39, 54.97 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:57.345, 707 MiB, 39, 54.97 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:57.545, 707 MiB, 39, 54.35 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:57.745, 707 MiB, 39, 54.35 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:57.945, 707 MiB, 39, 54.35 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:58.146, 707 MiB, 39, 54.29 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:58.346, 707 MiB, 39, 54.29 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:58.546, 707 MiB, 39, 54.37 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:58.746, 707 MiB, 39, 54.37 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:58.947, 707 MiB, 39, 54.37 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:59.147, 707 MiB, 39, 54.55 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:59.347, 707 MiB, 39, 54.55 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:59.547, 707 MiB, 39, 54.43 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:59.748, 707 MiB, 39, 54.43 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:45:59.948, 707 MiB, 39, 54.43 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:00.148, 707 MiB, 39, 54.33 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:00.348, 707 MiB, 39, 54.33 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:00.549, 707 MiB, 39, 54.23 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:00.749, 707 MiB, 39, 54.23 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:00.949, 707 MiB, 39, 54.23 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:01.149, 707 MiB, 39, 54.17 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:01.350, 707 MiB, 39, 54.17 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:01.550, 707 MiB, 39, 54.46 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:01.750, 707 MiB, 39, 54.46 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:01.950, 707 MiB, 39, 54.46 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:02.151, 707 MiB, 39, 54.65 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:02.351, 707 MiB, 39, 54.65 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:02.551, 707 MiB, 39, 54.49 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:02.751, 707 MiB, 39, 54.49 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 01:46:02.951, 707 MiB, 39, 54.49 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
