timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 02:59:05.367, 2 MiB, 45, 14.45 W, 22 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:05.574, 2 MiB, 45, 14.45 W, 22 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:05.774, 2 MiB, 45, 14.45 W, 22 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:05.976, 744 MiB, 45, 19.15 W, 1005 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:06.176, 1272 MiB, 45, 19.15 W, 1005 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:06.376, 1272 MiB, 45, 19.15 W, 1005 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:06.577, 1272 MiB, 45, 30.08 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:06.777, 1738 MiB, 45, 30.08 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:06.977, 1740 MiB, 47, 64.93 W, 2542 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:07.177, 1740 MiB, 47, 64.93 W, 2542 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:07.378, 1740 MiB, 47, 64.93 W, 2542 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:07.578, 1740 MiB, 49, 122.06 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:07.778, 1740 MiB, 49, 122.06 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:07.978, 1249 MiB, 47, 188.49 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:08.178, 1777 MiB, 47, 188.49 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:08.379, 1777 MiB, 47, 188.49 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:08.579, 1777 MiB, 46, 148.10 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:08.779, 2282 MiB, 46, 148.10 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:08.979, 2746 MiB, 46, 90.93 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:09.180, 2746 MiB, 46, 90.93 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:09.380, 2746 MiB, 46, 90.93 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:09.580, 2746 MiB, 46, 90.53 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:09.780, 2746 MiB, 46, 90.53 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:09.980, 2746 MiB, 45, 83.25 W, 2572 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:10.181, 2746 MiB, 45, 83.25 W, 2572 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:10.381, 2746 MiB, 45, 83.25 W, 2572 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:10.581, 2746 MiB, 45, 68.31 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:10.781, 2746 MiB, 45, 68.31 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:10.981, 2746 MiB, 45, 55.72 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:11.182, 2746 MiB, 45, 55.72 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:11.382, 2746 MiB, 45, 55.72 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:11.582, 2746 MiB, 45, 55.77 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:11.782, 2746 MiB, 45, 55.77 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:11.982, 2746 MiB, 45, 55.71 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:12.182, 2746 MiB, 45, 55.71 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:12.383, 2746 MiB, 45, 55.71 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:12.583, 2746 MiB, 45, 55.55 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:12.783, 2746 MiB, 45, 55.55 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:12.983, 2746 MiB, 45, 55.45 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:13.183, 2746 MiB, 45, 55.45 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:13.384, 2746 MiB, 45, 55.45 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:13.584, 2746 MiB, 48, 117.11 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:13.784, 2746 MiB, 48, 117.11 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:13.984, 2746 MiB, 49, 204.34 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:14.184, 2746 MiB, 49, 204.34 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:14.385, 2746 MiB, 49, 204.34 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:14.585, 2746 MiB, 49, 217.74 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:14.785, 2746 MiB, 49, 217.74 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:14.985, 2746 MiB, 49, 217.05 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:15.185, 2746 MiB, 49, 217.05 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:15.386, 2746 MiB, 49, 217.05 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:15.586, 2746 MiB, 49, 216.54 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:15.786, 2746 MiB, 49, 216.54 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:15.986, 2746 MiB, 50, 217.37 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:16.186, 2746 MiB, 50, 217.37 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:16.386, 2746 MiB, 50, 217.37 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:16.587, 2746 MiB, 49, 218.07 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:16.787, 2746 MiB, 49, 218.07 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:16.987, 2746 MiB, 50, 219.45 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:17.187, 2746 MiB, 50, 219.45 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:17.388, 2746 MiB, 50, 219.45 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:17.588, 2746 MiB, 49, 219.58 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:17.788, 2746 MiB, 49, 219.58 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:17.988, 2746 MiB, 50, 218.10 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:18.189, 2746 MiB, 50, 218.10 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:18.389, 2746 MiB, 50, 218.10 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:18.589, 2746 MiB, 50, 216.02 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:18.789, 2746 MiB, 50, 216.02 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:18.989, 2746 MiB, 50, 215.98 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:19.190, 2746 MiB, 50, 215.98 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:19.390, 2746 MiB, 50, 215.98 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:19.590, 2746 MiB, 50, 215.71 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:19.790, 2746 MiB, 50, 215.71 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:19.991, 2746 MiB, 50, 215.97 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:20.191, 2746 MiB, 50, 215.97 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:20.391, 2746 MiB, 50, 215.97 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:20.591, 2746 MiB, 50, 216.66 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:20.792, 2746 MiB, 50, 216.66 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:20.992, 2746 MiB, 50, 216.34 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:21.192, 2746 MiB, 50, 216.34 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:21.392, 2746 MiB, 50, 216.34 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:21.592, 2746 MiB, 50, 215.70 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:21.792, 2746 MiB, 50, 215.70 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:21.993, 2746 MiB, 50, 215.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:22.193, 2746 MiB, 50, 215.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:22.393, 2746 MiB, 50, 215.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:22.593, 2746 MiB, 50, 215.95 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:22.793, 2746 MiB, 50, 215.95 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:22.993, 2746 MiB, 50, 216.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:23.194, 2746 MiB, 50, 216.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:23.394, 2746 MiB, 50, 216.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:23.594, 2746 MiB, 50, 217.92 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:23.794, 2746 MiB, 50, 217.92 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:59:23.994, 2746 MiB, 50, 221.66 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
