timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 03:51:00.801, 2 MiB, 46, 14.24 W, 22 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:01.008, 2 MiB, 46, 14.24 W, 22 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:01.208, 2 MiB, 46, 14.24 W, 22 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:01.410, 746 MiB, 47, 17.76 W, 1567 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:01.610, 1274 MiB, 47, 17.76 W, 1567 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:01.811, 1274 MiB, 47, 17.76 W, 1567 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:02.011, 1274 MiB, 47, 30.24 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:02.211, 1740 MiB, 47, 30.24 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:02.412, 1740 MiB, 49, 59.65 W, 2580 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:02.612, 1740 MiB, 49, 59.65 W, 2580 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:02.812, 1740 MiB, 49, 59.65 W, 2580 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:03.012, 1740 MiB, 51, 114.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:03.212, 1740 MiB, 51, 114.78 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:03.413, 2243 MiB, 50, 187.43 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:03.613, 1494 MiB, 50, 187.43 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:03.813, 2218 MiB, 50, 187.43 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:04.014, 2746 MiB, 48, 162.86 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:04.214, 2746 MiB, 48, 162.86 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:04.414, 2746 MiB, 48, 93.60 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:04.615, 2746 MiB, 48, 93.60 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:04.815, 2746 MiB, 48, 93.60 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:05.015, 2746 MiB, 48, 91.06 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:05.216, 2746 MiB, 48, 91.06 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:05.416, 2746 MiB, 47, 83.80 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:05.616, 2746 MiB, 47, 83.80 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:05.816, 2746 MiB, 47, 83.80 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:06.017, 2746 MiB, 47, 68.74 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:06.217, 2746 MiB, 47, 68.74 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:06.417, 2746 MiB, 47, 56.25 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:06.618, 2746 MiB, 47, 56.25 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:06.818, 2746 MiB, 47, 56.25 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:07.018, 2746 MiB, 46, 56.10 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:07.218, 2746 MiB, 46, 56.10 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:07.418, 2746 MiB, 46, 55.86 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:07.619, 2746 MiB, 46, 55.86 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:07.819, 2746 MiB, 46, 55.86 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:08.019, 2746 MiB, 46, 55.90 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:08.219, 2746 MiB, 46, 55.90 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:08.420, 2746 MiB, 46, 56.05 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:08.620, 2746 MiB, 46, 56.05 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:08.820, 2746 MiB, 46, 56.05 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:09.020, 2746 MiB, 50, 106.73 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:09.220, 2746 MiB, 50, 106.73 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:09.420, 2746 MiB, 51, 178.72 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:09.621, 2746 MiB, 51, 178.72 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:09.821, 2746 MiB, 51, 178.72 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:10.021, 2746 MiB, 51, 214.34 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:10.221, 2746 MiB, 51, 214.34 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:10.422, 2746 MiB, 51, 214.18 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:10.622, 2746 MiB, 51, 214.18 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:10.822, 2746 MiB, 51, 214.18 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:11.023, 2746 MiB, 51, 214.29 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:11.223, 2746 MiB, 51, 214.29 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:11.423, 2746 MiB, 51, 214.80 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:11.623, 2746 MiB, 51, 214.80 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:11.824, 2746 MiB, 51, 214.80 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:12.024, 2746 MiB, 51, 215.06 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:12.224, 2746 MiB, 51, 215.06 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:12.424, 2746 MiB, 51, 215.23 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:12.624, 2746 MiB, 51, 215.23 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:12.825, 2746 MiB, 51, 215.23 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:13.025, 2746 MiB, 51, 215.33 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:13.225, 2746 MiB, 51, 215.33 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:13.425, 2746 MiB, 51, 215.46 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:13.626, 2746 MiB, 51, 215.46 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:13.826, 2746 MiB, 51, 215.46 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:14.026, 2746 MiB, 51, 215.58 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:14.226, 2746 MiB, 51, 215.58 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:14.427, 2746 MiB, 51, 215.36 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:14.627, 2746 MiB, 51, 215.36 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:14.827, 2746 MiB, 51, 215.36 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:15.027, 2746 MiB, 51, 215.32 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:15.227, 2746 MiB, 51, 215.32 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:15.428, 2746 MiB, 51, 215.13 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:15.628, 2746 MiB, 51, 215.13 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:15.828, 2746 MiB, 51, 215.13 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:16.028, 2746 MiB, 51, 214.88 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:16.229, 2746 MiB, 51, 214.88 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:16.429, 2746 MiB, 52, 215.43 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:16.629, 2746 MiB, 52, 215.43 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:16.829, 2746 MiB, 52, 215.43 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:17.029, 2746 MiB, 51, 215.47 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:17.229, 2746 MiB, 51, 215.47 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:17.430, 2746 MiB, 52, 215.43 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:17.630, 2746 MiB, 52, 215.43 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:17.830, 2746 MiB, 52, 215.43 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:18.030, 2746 MiB, 52, 215.64 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:18.231, 2746 MiB, 52, 215.64 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:18.431, 2746 MiB, 52, 215.54 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:18.631, 2746 MiB, 52, 215.54 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:18.831, 2746 MiB, 52, 215.54 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:19.032, 2746 MiB, 52, 215.40 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:19.232, 2746 MiB, 52, 215.40 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:19.432, 2746 MiB, 52, 215.26 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:19.632, 2746 MiB, 52, 215.26 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:19.832, 2746 MiB, 52, 215.26 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:20.033, 2746 MiB, 52, 215.42 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 03:51:20.233, 2746 MiB, 52, 215.42 W, 2887 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
