timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 20:49:25.068, 15 MiB, 48, 14.68 W, 46 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:25.271, 15 MiB, 48, 14.68 W, 46 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:25.471, 15 MiB, 48, 14.68 W, 46 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:25.671, 18 MiB, 48, 14.82 W, 46 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:25.872, 519 MiB, 48, 14.82 W, 46 MHz, 810 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:26.072, 519 MiB, 49, 31.00 W, 1612 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:26.272, 519 MiB, 49, 31.00 W, 1612 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:26.472, 519 MiB, 49, 31.00 W, 1612 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:26.673, 519 MiB, 49, 50.12 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:26.873, 519 MiB, 49, 50.12 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:27.073, 519 MiB, 49, 57.01 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:27.273, 519 MiB, 49, 57.01 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:27.473, 519 MiB, 49, 57.01 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:27.674, 519 MiB, 49, 56.97 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:27.874, 519 MiB, 49, 56.97 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:28.074, 519 MiB, 49, 56.95 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:28.275, 519 MiB, 49, 56.95 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:28.475, 536 MiB, 49, 56.95 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:28.676, 1021 MiB, 49, 58.06 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:28.876, 1023 MiB, 49, 58.06 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:29.076, 1023 MiB, 49, 57.99 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 20:49:29.276, 1023 MiB, 49, 57.99 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
