timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/04 00:25:51.272, 15 MiB, 48, 15.86 W, 29 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:51.475, 15 MiB, 48, 15.86 W, 29 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:51.675, 15 MiB, 48, 13.32 W, 29 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:51.876, 34 MiB, 48, 13.32 W, 29 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:52.094, 527 MiB, 49, 17.73 W, 322 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:52.294, 527 MiB, 49, 17.73 W, 322 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:52.495, 527 MiB, 49, 17.73 W, 322 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:52.695, 527 MiB, 49, 38.34 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:52.895, 527 MiB, 49, 38.34 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:53.095, 527 MiB, 49, 57.08 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:53.295, 527 MiB, 49, 57.08 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:53.496, 527 MiB, 49, 57.08 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:53.696, 527 MiB, 49, 57.19 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:53.896, 527 MiB, 49, 57.19 W, 2407 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:54.096, 527 MiB, 49, 57.17 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:54.297, 527 MiB, 49, 57.17 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:54.497, 527 MiB, 49, 57.17 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:54.697, 527 MiB, 49, 57.07 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:54.897, 1029 MiB, 49, 57.07 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:55.099, 1029 MiB, 49, 58.20 W, 2430 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:55.299, 1029 MiB, 49, 58.20 W, 2430 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:55.499, 1029 MiB, 49, 58.20 W, 2430 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:55.700, 1029 MiB, 49, 58.19 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/04 00:25:55.900, 1029 MiB, 49, 58.19 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
