repeat,arm,elapsed_ms,source
repeat-01,baseline_gpu,0.345489,repeat-01/client.log
repeat-01,register,0.156241,repeat-01/client.log
repeat-01,offload1,286.335569,repeat-01/client.log
repeat-01,cpu_restore,153.745077,repeat-01/client.log
repeat-01,offload2_release,4.49532,repeat-01/client.log
repeat-01,gpu_restore,176.614956,repeat-01/client.log
repeat-01,steady_gpu,0.26237,repeat-01/client.log
repeat-02,baseline_gpu,0.341371,repeat-02/client.log
repeat-02,register,0.16249,repeat-02/client.log
repeat-02,offload1,285.755666,repeat-02/client.log
repeat-02,cpu_restore,173.589276,repeat-02/client.log
repeat-02,offload2_release,3.19187,repeat-02/client.log
repeat-02,gpu_restore,210.570854,repeat-02/client.log
repeat-02,steady_gpu,0.250645,repeat-02/client.log
repeat-03,baseline_gpu,0.333037,repeat-03/client.log
repeat-03,register,0.175364,repeat-03/client.log
repeat-03,offload1,248.217035,repeat-03/client.log
repeat-03,cpu_restore,196.646456,repeat-03/client.log
repeat-03,offload2_release,2.650324,repeat-03/client.log
repeat-03,gpu_restore,203.512757,repeat-03/client.log
repeat-03,steady_gpu,0.246044,repeat-03/client.log
repeat-04,baseline_gpu,0.336486,repeat-04/client.log
repeat-04,register,0.170863,repeat-04/client.log
repeat-04,offload1,476.1398,repeat-04/client.log
repeat-04,cpu_restore,192.396538,repeat-04/client.log
repeat-04,offload2_release,2.706485,repeat-04/client.log
repeat-04,gpu_restore,218.453657,repeat-04/client.log
repeat-04,steady_gpu,0.248431,repeat-04/client.log
repeat-05,baseline_gpu,0.340561,repeat-05/client.log
repeat-05,register,0.213181,repeat-05/client.log
repeat-05,offload1,289.456037,repeat-05/client.log
repeat-05,cpu_restore,207.280923,repeat-05/client.log
repeat-05,offload2_release,3.114493,repeat-05/client.log
repeat-05,gpu_restore,227.996746,repeat-05/client.log
repeat-05,steady_gpu,0.250566,repeat-05/client.log
