timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/02 17:00:04.209, 31808 MiB, 52, 93.61 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:04.416, 31808 MiB, 52, 93.61 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:04.616, 31808 MiB, 52, 93.61 W, 2910 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:04.816, 31810 MiB, 54, 131.43 W, 2902 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:05.016, 31810 MiB, 54, 131.43 W, 2902 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:05.217, 31810 MiB, 54, 131.43 W, 2902 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:05.417, 31810 MiB, 56, 199.15 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:05.617, 31812 MiB, 56, 199.15 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:05.817, 31812 MiB, 56, 218.21 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:06.018, 31832 MiB, 56, 218.21 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:06.218, 31832 MiB, 56, 218.21 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:06.418, 31832 MiB, 56, 219.54 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:06.619, 31832 MiB, 56, 219.54 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:06.819, 31832 MiB, 57, 226.28 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:07.019, 31832 MiB, 57, 226.28 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:07.220, 31832 MiB, 57, 226.28 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:07.420, 31832 MiB, 57, 231.79 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:07.620, 31832 MiB, 57, 231.79 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:07.820, 31832 MiB, 57, 231.87 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 17:00:08.021, 31832 MiB, 57, 231.87 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
