timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/02 19:35:06.018, 31808 MiB, 47, 186.05 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:06.224, 31808 MiB, 47, 186.05 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:06.425, 31808 MiB, 47, 186.05 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:06.625, 31808 MiB, 51, 189.81 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:06.825, 31808 MiB, 51, 189.81 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:07.026, 31810 MiB, 51, 189.81 W, 2880 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:07.226, 31810 MiB, 52, 270.48 W, 2857 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:07.426, 31850 MiB, 52, 270.48 W, 2857 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:07.627, 31850 MiB, 49, 285.17 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:07.827, 31850 MiB, 49, 285.17 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:08.027, 31850 MiB, 49, 285.17 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:08.227, 31850 MiB, 49, 232.38 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:08.428, 31850 MiB, 49, 232.38 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:35:08.628, 31850 MiB, 49, 204.82 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
