timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/02 19:40:34.591, 31828 MiB, 47, 236.56 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:34.798, 31828 MiB, 47, 236.56 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:34.998, 31828 MiB, 47, 236.56 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:35.199, 31830 MiB, 50, 179.43 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:35.399, 31830 MiB, 50, 179.43 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:35.599, 31830 MiB, 50, 179.43 W, 2895 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:35.800, 31870 MiB, 48, 187.00 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:36.000, 31870 MiB, 48, 187.00 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:36.200, 31870 MiB, 48, 222.38 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:36.400, 31870 MiB, 48, 222.38 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:36.601, 31870 MiB, 48, 222.38 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:36.801, 31870 MiB, 49, 216.30 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:37.001, 31870 MiB, 49, 216.30 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:37.202, 31870 MiB, 49, 228.63 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:37.402, 31870 MiB, 49, 228.63 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:37.602, 31870 MiB, 49, 228.63 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:37.802, 31870 MiB, 49, 235.08 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:38.003, 31870 MiB, 49, 235.08 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:38.203, 31870 MiB, 50, 234.33 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:38.403, 31870 MiB, 50, 234.33 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:38.603, 31870 MiB, 50, 234.33 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:38.804, 31870 MiB, 50, 234.60 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:39.004, 31870 MiB, 50, 234.60 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:39.204, 31870 MiB, 50, 234.04 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:39.404, 31870 MiB, 50, 234.04 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:39.605, 31870 MiB, 50, 234.04 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:39.805, 31870 MiB, 50, 233.29 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:40.005, 31870 MiB, 50, 233.29 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:40.205, 31870 MiB, 50, 230.22 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:40.406, 31870 MiB, 50, 230.22 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:40.606, 31870 MiB, 50, 230.22 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:40.806, 31870 MiB, 49, 230.78 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/02 19:40:41.006, 31870 MiB, 49, 230.78 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
