timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 23:08:49.748, 31821 MiB, 48, 190.44 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:49.953, 31821 MiB, 47, 190.44 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:50.153, 31821 MiB, 47, 190.44 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:50.353, 31821 MiB, 52, 170.11 W, 2902 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:50.553, 31821 MiB, 52, 170.11 W, 2902 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:50.754, 31821 MiB, 51, 228.41 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:50.954, 31821 MiB, 51, 228.41 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:51.154, 31841 MiB, 51, 228.41 W, 2857 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:51.355, 31841 MiB, 49, 286.43 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:51.555, 31841 MiB, 49, 286.43 W, 2865 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:51.755, 31841 MiB, 49, 227.35 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:51.955, 31841 MiB, 49, 227.35 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:52.156, 31841 MiB, 49, 227.35 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:52.356, 31841 MiB, 49, 198.41 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:52.556, 31841 MiB, 49, 198.41 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:52.756, 31841 MiB, 49, 201.55 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:52.957, 31841 MiB, 49, 201.55 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:53.157, 31841 MiB, 49, 201.55 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:53.357, 31841 MiB, 49, 203.17 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:53.557, 31841 MiB, 49, 203.17 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:53.757, 31841 MiB, 49, 203.28 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:53.958, 31841 MiB, 49, 203.28 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:54.158, 31841 MiB, 49, 203.28 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:54.358, 31841 MiB, 49, 203.73 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:54.558, 31841 MiB, 49, 203.73 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:54.758, 31841 MiB, 50, 204.63 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:54.959, 31841 MiB, 50, 204.63 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:55.159, 31841 MiB, 50, 204.63 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:55.359, 31841 MiB, 50, 205.11 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:55.560, 31841 MiB, 50, 205.11 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 23:08:55.760, 31841 MiB, 49, 205.57 W, 2872 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
