timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 04:11:17.435, 2 MiB, 51, 94.38 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:17.638, 2 MiB, 51, 94.38 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:17.838, 2 MiB, 51, 94.38 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:18.039, 2 MiB, 49, 60.21 W, 2400 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:18.239, 2 MiB, 49, 60.21 W, 2400 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:18.439, 2 MiB, 49, 60.21 W, 2400 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:18.640, 21 MiB, 49, 60.21 W, 2400 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:18.840, 2862 MiB, 49, 60.21 W, 2400 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:19.040, 4530 MiB, 54, 78.11 W, 2512 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:19.241, 4600 MiB, 54, 78.11 W, 2512 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:19.441, 4600 MiB, 54, 78.11 W, 2512 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:19.641, 4600 MiB, 57, 170.42 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:19.841, 4600 MiB, 57, 170.42 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:20.042, 4600 MiB, 57, 396.10 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:11:20.242, 4600 MiB, 57, 396.10 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
