timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 04:23:13.977, 2 MiB, 50, 94.66 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:14.182, 2 MiB, 50, 94.66 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:14.382, 2 MiB, 50, 94.66 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:14.582, 2 MiB, 48, 58.94 W, 840 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:14.783, 2 MiB, 48, 58.94 W, 840 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:14.983, 2 MiB, 48, 58.94 W, 840 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:15.183, 21 MiB, 48, 58.94 W, 840 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:15.384, 3402 MiB, 48, 58.94 W, 840 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:15.584, 5068 MiB, 54, 66.82 W, 2490 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:15.784, 5144 MiB, 54, 66.82 W, 2490 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:15.985, 5144 MiB, 54, 66.82 W, 2490 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:16.185, 5144 MiB, 56, 161.98 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:16.385, 5144 MiB, 56, 161.98 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:16.585, 5144 MiB, 57, 393.52 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:16.785, 5144 MiB, 57, 393.52 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:16.986, 5144 MiB, 57, 393.52 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:17.186, 5144 MiB, 59, 386.15 W, 2760 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:17.386, 5144 MiB, 59, 386.15 W, 2760 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:17.586, 9240 MiB, 57, 375.35 W, 2775 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:17.787, 9240 MiB, 57, 375.35 W, 2775 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:17.987, 9240 MiB, 57, 375.35 W, 2775 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:18.187, 9240 MiB, 59, 385.24 W, 2775 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:18.387, 9240 MiB, 59, 385.24 W, 2775 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:18.587, 9240 MiB, 55, 402.40 W, 2752 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:18.788, 12312 MiB, 55, 402.40 W, 2752 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:18.988, 12312 MiB, 55, 402.40 W, 2752 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:19.188, 12312 MiB, 58, 380.58 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:19.388, 12312 MiB, 58, 380.58 W, 2820 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:19.589, 12312 MiB, 59, 375.96 W, 2760 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:19.789, 12312 MiB, 59, 375.96 W, 2760 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:19.989, 12312 MiB, 59, 375.96 W, 2760 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:20.189, 12312 MiB, 55, 391.07 W, 2805 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:20.390, 12312 MiB, 55, 391.07 W, 2805 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:20.590, 12312 MiB, 59, 369.74 W, 2745 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:20.790, 12312 MiB, 59, 369.74 W, 2745 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:20.990, 12312 MiB, 59, 369.74 W, 2745 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:21.190, 12312 MiB, 57, 361.25 W, 2760 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:21.391, 12312 MiB, 57, 361.25 W, 2760 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:21.591, 12312 MiB, 58, 350.35 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:21.791, 12312 MiB, 58, 350.35 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:21.991, 12312 MiB, 58, 350.35 W, 2812 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:22.192, 12312 MiB, 54, 339.32 W, 2767 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:22.392, 12312 MiB, 54, 339.32 W, 2767 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:23:22.592, 12312 MiB, 59, 324.81 W, 2812 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
