timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 04:35:11.168, 2 MiB, 52, 94.67 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:11.372, 2 MiB, 52, 94.67 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:11.572, 2 MiB, 52, 94.67 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:11.773, 2 MiB, 50, 47.86 W, 667 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:11.973, 2 MiB, 50, 47.86 W, 667 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:12.173, 2 MiB, 50, 47.86 W, 667 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:12.374, 21 MiB, 50, 47.86 W, 667 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:12.574, 7484 MiB, 50, 47.86 W, 667 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:12.774, 9152 MiB, 53, 65.08 W, 2512 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:12.975, 9222 MiB, 53, 65.08 W, 2512 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:13.175, 9222 MiB, 53, 65.08 W, 2512 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:13.375, 9222 MiB, 60, 165.73 W, 2797 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:13.575, 9222 MiB, 60, 165.73 W, 2797 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:13.776, 9222 MiB, 58, 414.53 W, 2737 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:13.976, 9222 MiB, 58, 414.53 W, 2737 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:14.176, 9222 MiB, 58, 414.53 W, 2737 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:14.376, 9224 MiB, 58, 400.82 W, 2715 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:14.576, 9224 MiB, 58, 400.82 W, 2715 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:14.777, 9224 MiB, 59, 398.27 W, 2805 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:14.977, 9224 MiB, 59, 398.27 W, 2805 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:15.177, 9224 MiB, 59, 398.27 W, 2805 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:15.377, 9224 MiB, 61, 400.10 W, 2752 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:15.577, 9224 MiB, 61, 400.10 W, 2752 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:35:15.778, 9224 MiB, 60, 400.37 W, 2797 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
