timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 21:01:35.940, 15 MiB, 49, 30.02 W, 607 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:36.142, 15 MiB, 49, 30.02 W, 607 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:36.343, 15 MiB, 49, 30.02 W, 607 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:36.543, 15 MiB, 49, 29.98 W, 607 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:36.743, 15 MiB, 49, 29.98 W, 607 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:36.943, 15 MiB, 49, 29.77 W, 217 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:37.144, 34 MiB, 49, 29.77 W, 217 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:37.344, 2377 MiB, 49, 29.77 W, 217 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:37.544, 4045 MiB, 50, 40.32 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:37.744, 4117 MiB, 50, 40.32 W, 2400 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:37.945, 4117 MiB, 57, 173.62 W, 2722 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:38.145, 4117 MiB, 57, 173.62 W, 2722 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:38.345, 4117 MiB, 57, 173.62 W, 2722 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:38.545, 4117 MiB, 54, 358.11 W, 2767 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 21:01:38.746, 4117 MiB, 54, 358.11 W, 2767 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
