timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 02:00:01.150, 15 MiB, 43, 11.59 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:01.359, 15 MiB, 43, 11.59 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:01.559, 15 MiB, 43, 11.59 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:01.759, 15 MiB, 43, 11.59 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:01.960, 15 MiB, 43, 11.59 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:02.160, 15 MiB, 43, 11.31 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:02.360, 15 MiB, 43, 11.31 W, 22 MHz, 405 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:02.565, 1803 MiB, 43, 11.31 W, 945 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:02.765, 2381 MiB, 44, 15.07 W, 945 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:02.965, 4269 MiB, 44, 15.07 W, 945 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:03.165, 4269 MiB, 54, 95.52 W, 2700 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 02:00:03.366, 15 MiB, 54, 95.52 W, 2700 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
