timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 04:01:29.121, 2 MiB, 47, 56.13 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:29.326, 2 MiB, 47, 56.13 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:29.526, 2 MiB, 47, 56.13 W, 2400 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:29.726, 2 MiB, 46, 34.69 W, 802 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:29.926, 2 MiB, 46, 34.69 W, 802 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:30.126, 2 MiB, 46, 34.69 W, 802 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:30.327, 21 MiB, 46, 34.69 W, 802 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:30.527, 2364 MiB, 46, 34.69 W, 802 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:30.727, 4032 MiB, 46, 34.69 W, 802 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:30.928, 4104 MiB, 52, 73.86 W, 2535 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:31.128, 2 MiB, 52, 73.86 W, 2535 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
