timestamp, memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/09/03 04:01:36.467, 2 MiB, 48, 91.64 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:36.670, 2 MiB, 48, 91.64 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:36.870, 2 MiB, 48, 91.64 W, 2910 MHz, 14001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:37.070, 2 MiB, 47, 69.28 W, 2295 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:37.270, 2 MiB, 47, 69.28 W, 2295 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:37.471, 2 MiB, 47, 69.28 W, 2295 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:37.671, 21 MiB, 47, 69.28 W, 2295 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:37.871, 2366 MiB, 47, 69.28 W, 2295 MHz, 7001 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:38.072, 4102 MiB, 52, 64.09 W, 2497 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:38.272, 4104 MiB, 52, 64.09 W, 2497 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:38.472, 4104 MiB, 52, 64.09 W, 2497 MHz, 13801 MHz, Active, Not Active, Not Active, Not Active, Not Active
2026/09/03 04:01:38.672, 2 MiB, 49, 91.43 W, 2902 MHz, 13801 MHz, Not Active, Not Active, Not Active, Not Active, Not Active
