timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:49:49.763, 38.49 W, 15 MiB, 0 %
2026/09/06 23:49:49.965, 38.49 W, 15 MiB, 0 %
2026/09/06 23:49:50.165, 38.49 W, 15 MiB, 0 %
2026/09/06 23:49:50.366, 31.90 W, 521 MiB, 0 %
2026/09/06 23:49:50.566, 31.90 W, 521 MiB, 0 %
2026/09/06 23:49:50.766, 39.66 W, 521 MiB, 0 %
2026/09/06 23:49:50.966, 39.66 W, 521 MiB, 0 %
2026/09/06 23:49:51.166, 39.66 W, 521 MiB, 0 %
2026/09/06 23:49:51.367, 55.10 W, 521 MiB, 0 %
2026/09/06 23:49:51.567, 55.10 W, 521 MiB, 0 %
2026/09/06 23:49:51.767, 57.90 W, 521 MiB, 0 %
2026/09/06 23:49:51.968, 57.90 W, 521 MiB, 0 %
2026/09/06 23:49:52.168, 57.90 W, 521 MiB, 0 %
2026/09/06 23:49:52.368, 57.79 W, 521 MiB, 0 %
2026/09/06 23:49:52.568, 57.79 W, 521 MiB, 0 %
2026/09/06 23:49:52.769, 57.72 W, 521 MiB, 0 %
2026/09/06 23:49:52.969, 57.72 W, 521 MiB, 0 %
2026/09/06 23:49:53.169, 57.72 W, 521 MiB, 0 %
2026/09/06 23:49:53.369, 57.61 W, 521 MiB, 0 %
2026/09/06 23:49:53.569, 57.61 W, 521 MiB, 0 %
2026/09/06 23:49:53.770, 57.54 W, 521 MiB, 0 %
2026/09/06 23:49:53.970, 57.54 W, 521 MiB, 0 %
2026/09/06 23:49:54.170, 57.54 W, 521 MiB, 0 %
2026/09/06 23:49:54.370, 57.45 W, 521 MiB, 0 %
2026/09/06 23:49:54.571, 57.45 W, 521 MiB, 0 %
2026/09/06 23:49:54.771, 57.53 W, 521 MiB, 0 %
2026/09/06 23:49:54.971, 57.53 W, 521 MiB, 0 %
2026/09/06 23:49:55.171, 57.53 W, 521 MiB, 0 %
2026/09/06 23:49:55.371, 57.64 W, 521 MiB, 0 %
2026/09/06 23:49:55.572, 57.64 W, 521 MiB, 0 %
2026/09/06 23:49:55.772, 57.73 W, 521 MiB, 0 %
2026/09/06 23:49:55.972, 57.73 W, 521 MiB, 0 %
2026/09/06 23:49:56.172, 57.73 W, 521 MiB, 0 %
2026/09/06 23:49:56.372, 57.56 W, 521 MiB, 0 %
2026/09/06 23:49:56.573, 57.56 W, 521 MiB, 0 %
2026/09/06 23:49:56.773, 57.48 W, 521 MiB, 0 %
2026/09/06 23:49:56.973, 57.48 W, 2699 MiB, 0 %
2026/09/06 23:49:57.173, 57.48 W, 9867 MiB, 0 %
2026/09/06 23:49:57.373, 76.86 W, 17035 MiB, 0 %
2026/09/06 23:49:57.574, 76.86 W, 24331 MiB, 0 %
2026/09/06 23:49:57.774, 107.86 W, 31501 MiB, 100 %
2026/09/06 23:49:57.974, 107.86 W, 32107 MiB, 100 %
2026/09/06 23:49:58.174, 107.86 W, 32107 MiB, 100 %
2026/09/06 23:49:58.374, 118.83 W, 32107 MiB, 100 %
2026/09/06 23:49:58.575, 118.83 W, 32107 MiB, 100 %
2026/09/06 23:49:58.775, 118.31 W, 32107 MiB, 100 %
2026/09/06 23:49:58.975, 118.31 W, 32107 MiB, 100 %
2026/09/06 23:49:59.175, 118.31 W, 32107 MiB, 100 %
2026/09/06 23:49:59.376, 118.67 W, 32107 MiB, 100 %
2026/09/06 23:49:59.576, 118.67 W, 32107 MiB, 100 %
2026/09/06 23:49:59.776, 118.30 W, 32107 MiB, 100 %
2026/09/06 23:49:59.976, 118.30 W, 32107 MiB, 100 %
2026/09/06 23:50:00.177, 118.30 W, 32107 MiB, 100 %
2026/09/06 23:50:00.377, 117.14 W, 32107 MiB, 100 %
2026/09/06 23:50:00.577, 117.14 W, 32107 MiB, 100 %
2026/09/06 23:50:00.777, 114.20 W, 32107 MiB, 100 %
2026/09/06 23:50:00.977, 114.20 W, 32107 MiB, 100 %
2026/09/06 23:50:01.178, 114.20 W, 32107 MiB, 100 %
2026/09/06 23:50:01.378, 113.28 W, 32107 MiB, 100 %
2026/09/06 23:50:01.578, 113.28 W, 32107 MiB, 100 %
2026/09/06 23:50:01.778, 116.16 W, 32107 MiB, 100 %
2026/09/06 23:50:01.978, 116.16 W, 32107 MiB, 100 %
2026/09/06 23:50:02.179, 116.16 W, 32107 MiB, 100 %
2026/09/06 23:50:02.379, 117.64 W, 32107 MiB, 100 %
2026/09/06 23:50:02.579, 117.64 W, 32107 MiB, 100 %
2026/09/06 23:50:02.779, 117.90 W, 32107 MiB, 100 %
2026/09/06 23:50:02.979, 117.90 W, 32107 MiB, 100 %
2026/09/06 23:50:03.180, 117.90 W, 32107 MiB, 100 %
2026/09/06 23:50:03.380, 118.97 W, 32107 MiB, 100 %
