timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:54:33.955, 12.59 W, 15 MiB, 0 %
2026/09/06 23:54:34.158, 12.59 W, 15 MiB, 0 %
2026/09/06 23:54:34.358, 12.59 W, 15 MiB, 0 %
2026/09/06 23:54:34.559, 12.59 W, 119 MiB, 0 %
2026/09/06 23:54:34.759, 12.59 W, 521 MiB, 0 %
2026/09/06 23:54:34.959, 26.85 W, 521 MiB, 0 %
2026/09/06 23:54:35.159, 26.85 W, 521 MiB, 0 %
2026/09/06 23:54:35.359, 36.34 W, 521 MiB, 0 %
2026/09/06 23:54:35.560, 36.34 W, 521 MiB, 0 %
2026/09/06 23:54:35.760, 36.34 W, 521 MiB, 0 %
2026/09/06 23:54:35.960, 57.22 W, 521 MiB, 0 %
2026/09/06 23:54:36.161, 57.22 W, 521 MiB, 0 %
2026/09/06 23:54:36.361, 57.19 W, 521 MiB, 0 %
2026/09/06 23:54:36.561, 57.19 W, 521 MiB, 0 %
2026/09/06 23:54:36.761, 57.19 W, 521 MiB, 0 %
2026/09/06 23:54:36.962, 57.04 W, 521 MiB, 0 %
2026/09/06 23:54:37.162, 57.04 W, 521 MiB, 0 %
2026/09/06 23:54:37.362, 56.94 W, 521 MiB, 0 %
2026/09/06 23:54:37.562, 56.94 W, 521 MiB, 0 %
2026/09/06 23:54:37.762, 56.94 W, 521 MiB, 0 %
2026/09/06 23:54:37.963, 57.06 W, 521 MiB, 0 %
2026/09/06 23:54:38.163, 57.06 W, 521 MiB, 0 %
2026/09/06 23:54:38.363, 57.10 W, 521 MiB, 0 %
2026/09/06 23:54:38.563, 57.10 W, 521 MiB, 0 %
2026/09/06 23:54:38.764, 57.10 W, 521 MiB, 0 %
2026/09/06 23:54:38.964, 57.03 W, 521 MiB, 0 %
2026/09/06 23:54:39.164, 57.03 W, 521 MiB, 0 %
2026/09/06 23:54:39.364, 57.21 W, 521 MiB, 0 %
2026/09/06 23:54:39.565, 57.21 W, 521 MiB, 0 %
2026/09/06 23:54:39.765, 57.21 W, 521 MiB, 0 %
2026/09/06 23:54:39.965, 57.33 W, 521 MiB, 0 %
2026/09/06 23:54:40.165, 57.33 W, 521 MiB, 0 %
2026/09/06 23:54:40.366, 57.47 W, 521 MiB, 0 %
2026/09/06 23:54:40.566, 57.47 W, 521 MiB, 0 %
2026/09/06 23:54:40.766, 57.47 W, 521 MiB, 0 %
2026/09/06 23:54:40.966, 57.60 W, 7049 MiB, 8 %
2026/09/06 23:54:41.166, 57.60 W, 14217 MiB, 8 %
2026/09/06 23:54:41.367, 85.89 W, 21385 MiB, 8 %
2026/09/06 23:54:41.567, 85.89 W, 28553 MiB, 8 %
2026/09/06 23:54:41.767, 85.89 W, 32107 MiB, 8 %
2026/09/06 23:54:41.967, 119.75 W, 32107 MiB, 100 %
2026/09/06 23:54:42.167, 119.75 W, 32107 MiB, 100 %
2026/09/06 23:54:42.368, 119.56 W, 32107 MiB, 100 %
2026/09/06 23:54:42.568, 119.56 W, 32107 MiB, 100 %
2026/09/06 23:54:42.768, 119.56 W, 32107 MiB, 100 %
2026/09/06 23:54:42.968, 119.16 W, 32107 MiB, 100 %
2026/09/06 23:54:43.168, 119.16 W, 32107 MiB, 100 %
2026/09/06 23:54:43.369, 118.38 W, 32107 MiB, 100 %
2026/09/06 23:54:43.569, 118.38 W, 32107 MiB, 100 %
2026/09/06 23:54:43.769, 118.38 W, 32107 MiB, 100 %
