timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:55:00.557, 12.66 W, 15 MiB, 0 %
2026/09/06 23:55:00.760, 12.66 W, 15 MiB, 0 %
2026/09/06 23:55:00.960, 12.66 W, 15 MiB, 0 %
2026/09/06 23:55:01.161, 12.66 W, 519 MiB, 0 %
2026/09/06 23:55:01.361, 18.29 W, 521 MiB, 0 %
2026/09/06 23:55:01.561, 18.29 W, 521 MiB, 0 %
2026/09/06 23:55:01.761, 18.29 W, 521 MiB, 0 %
2026/09/06 23:55:01.961, 35.10 W, 521 MiB, 0 %
2026/09/06 23:55:02.162, 35.10 W, 521 MiB, 0 %
2026/09/06 23:55:02.362, 57.48 W, 521 MiB, 0 %
2026/09/06 23:55:02.562, 57.48 W, 521 MiB, 0 %
2026/09/06 23:55:02.763, 57.48 W, 521 MiB, 0 %
2026/09/06 23:55:02.963, 57.44 W, 521 MiB, 0 %
2026/09/06 23:55:03.163, 57.44 W, 521 MiB, 0 %
2026/09/06 23:55:03.363, 57.54 W, 521 MiB, 0 %
2026/09/06 23:55:03.564, 57.54 W, 521 MiB, 0 %
2026/09/06 23:55:03.764, 57.54 W, 521 MiB, 0 %
2026/09/06 23:55:03.964, 57.56 W, 521 MiB, 0 %
2026/09/06 23:55:04.164, 57.56 W, 521 MiB, 0 %
2026/09/06 23:55:04.364, 57.44 W, 521 MiB, 0 %
2026/09/06 23:55:04.564, 57.44 W, 521 MiB, 0 %
2026/09/06 23:55:04.765, 57.44 W, 521 MiB, 0 %
2026/09/06 23:55:04.965, 57.21 W, 521 MiB, 0 %
2026/09/06 23:55:05.165, 57.21 W, 521 MiB, 0 %
2026/09/06 23:55:05.365, 57.26 W, 521 MiB, 0 %
2026/09/06 23:55:05.566, 57.26 W, 521 MiB, 0 %
2026/09/06 23:55:05.766, 57.26 W, 521 MiB, 0 %
2026/09/06 23:55:05.966, 57.54 W, 521 MiB, 0 %
2026/09/06 23:55:06.166, 57.54 W, 521 MiB, 0 %
2026/09/06 23:55:06.367, 57.70 W, 521 MiB, 0 %
2026/09/06 23:55:06.567, 57.70 W, 521 MiB, 0 %
2026/09/06 23:55:06.767, 57.70 W, 521 MiB, 0 %
2026/09/06 23:55:06.967, 57.80 W, 521 MiB, 0 %
2026/09/06 23:55:07.167, 57.80 W, 521 MiB, 0 %
2026/09/06 23:55:07.368, 57.82 W, 521 MiB, 0 %
2026/09/06 23:55:07.568, 57.82 W, 3851 MiB, 0 %
2026/09/06 23:55:07.768, 57.82 W, 11019 MiB, 0 %
2026/09/06 23:55:07.968, 79.95 W, 18187 MiB, 100 %
2026/09/06 23:55:08.169, 79.95 W, 25227 MiB, 100 %
2026/09/06 23:55:08.369, 106.80 W, 32107 MiB, 100 %
2026/09/06 23:55:08.569, 106.80 W, 32107 MiB, 100 %
2026/09/06 23:55:08.769, 106.80 W, 32107 MiB, 100 %
2026/09/06 23:55:08.969, 120.56 W, 32107 MiB, 100 %
2026/09/06 23:55:09.169, 120.56 W, 32107 MiB, 100 %
2026/09/06 23:55:09.370, 120.51 W, 32107 MiB, 100 %
2026/09/06 23:55:09.570, 120.51 W, 32107 MiB, 100 %
2026/09/06 23:55:09.770, 120.51 W, 32107 MiB, 100 %
2026/09/06 23:55:09.970, 121.03 W, 32107 MiB, 100 %
2026/09/06 23:55:10.170, 121.03 W, 32107 MiB, 100 %
