timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:56:48.581, 16.65 W, 15 MiB, 0 %
2026/09/06 23:56:48.784, 16.65 W, 15 MiB, 0 %
2026/09/06 23:56:48.984, 16.65 W, 15 MiB, 0 %
2026/09/06 23:56:49.185, 16.65 W, 519 MiB, 0 %
2026/09/06 23:56:49.386, 23.01 W, 521 MiB, 0 %
2026/09/06 23:56:49.586, 23.01 W, 521 MiB, 0 %
2026/09/06 23:56:49.786, 23.01 W, 521 MiB, 0 %
2026/09/06 23:56:49.986, 32.85 W, 521 MiB, 0 %
2026/09/06 23:56:50.186, 32.85 W, 521 MiB, 0 %
2026/09/06 23:56:50.387, 60.51 W, 521 MiB, 0 %
2026/09/06 23:56:50.587, 60.51 W, 521 MiB, 0 %
2026/09/06 23:56:50.787, 60.51 W, 521 MiB, 0 %
2026/09/06 23:56:50.987, 60.53 W, 521 MiB, 0 %
2026/09/06 23:56:51.188, 60.53 W, 521 MiB, 0 %
2026/09/06 23:56:51.388, 60.50 W, 521 MiB, 0 %
2026/09/06 23:56:51.588, 60.50 W, 521 MiB, 0 %
2026/09/06 23:56:51.788, 60.50 W, 521 MiB, 0 %
2026/09/06 23:56:51.989, 60.59 W, 521 MiB, 0 %
2026/09/06 23:56:52.189, 60.59 W, 521 MiB, 0 %
2026/09/06 23:56:52.389, 60.58 W, 521 MiB, 0 %
2026/09/06 23:56:52.589, 60.58 W, 521 MiB, 0 %
2026/09/06 23:56:52.790, 60.58 W, 521 MiB, 0 %
2026/09/06 23:56:52.990, 60.18 W, 521 MiB, 0 %
2026/09/06 23:56:53.190, 60.18 W, 521 MiB, 0 %
2026/09/06 23:56:53.391, 59.87 W, 521 MiB, 0 %
2026/09/06 23:56:53.591, 59.87 W, 521 MiB, 0 %
2026/09/06 23:56:53.791, 59.87 W, 521 MiB, 0 %
2026/09/06 23:56:53.991, 59.82 W, 521 MiB, 0 %
2026/09/06 23:56:54.192, 59.82 W, 521 MiB, 0 %
2026/09/06 23:56:54.392, 59.91 W, 521 MiB, 0 %
2026/09/06 23:56:54.592, 59.91 W, 521 MiB, 0 %
2026/09/06 23:56:54.792, 59.91 W, 521 MiB, 0 %
2026/09/06 23:56:54.993, 59.97 W, 3081 MiB, 0 %
2026/09/06 23:56:55.193, 59.97 W, 7049 MiB, 0 %
2026/09/06 23:56:55.393, 82.31 W, 10889 MiB, 0 %
2026/09/06 23:56:55.593, 82.31 W, 14731 MiB, 0 %
2026/09/06 23:56:55.793, 82.31 W, 18571 MiB, 0 %
2026/09/06 23:56:55.994, 113.72 W, 22411 MiB, 100 %
